,Author,Date,text
1,Tribune News Report,1/26/2018 0:00,"Department of Labor and Industry Deputy Secretary for Workforce Development Eileen Cipriani continued the Wolf administration's 'Jobs that Pay' tour today at the Gettysburg Campus of HACC, Central Pennsylvania's Community College, and announced a new industrial manufacturing technician apprenticeship.

""Employers across Pennsylvania need trained and skilled workers and apprenticeships give young people and experienced workers the chance to earn while they learn,"" said Gov. Tom Wolf.

""Creating new apprenticeship programs not only helps meet the needs of regional employers, but provides job seekers with training that leads to family-sustaining jobs.""

After the tour concluded, Cipriani announced the department's Apprenticeship and Training Office approved a second cohort of HACC's Industrial Manufacturing Technician Apprenticeship Program.

The apprentices learn quality, production and maintenance skills.

""Apprenticeship programs like this are a great example of state agencies, education and local businesses collaborating to help meet regional employment needs,"" said Cipriani said.

""These types of partnerships are a win-win for employees as well because they help direct valuable training dollars to the industries and sectors that are actively seeking skilled workers.""

Representatives from SCPa Works and Hanes Pure Protein joined on the tour of classrooms and a mechatronics lab.

""This Industrial Manufacturing Technician Apprenticeship Program at HACC was developed in conjunction with industry experts to help companies fill the skills gap that exists. This program will allow a dedicated pipeline of 'ready-to-work' individuals to fill vacancies in much-needed jobs in Central Pennsylvania's manufacturing industries,"" said Lauren Holubec, director of manufacturing and logistics in HACC's Workforce Development and Continuing Education Division.

The Wolf administration established the Apprenticeship and Training Office in 2016 to support and expand apprenticeships.

Programs registered through the office provide employer-driven training to create a more productive, diverse, highly skilled workforce for employers and to help reduce employee turnover.

Job-seekers receive increased skills and a nationally recognized credential to support future career advancement and increased wages.

""We are excited about this program and thank Hain Pure Protein for their excitement and involvement in the creation of this second IMT cohort,"" Holubec said.

""The six students in the cohort will be made up of employees from Hain Pure Protein at the company's New Oxford location and will attend classes and training at HACC's Gettysburg Campus."""
5,Staff,1/26/18 11:26 AM,"SANDPOINT In 1937, during the era of the Great Depression, employers were in need of workers with specific qualifications.

For that reason,apprenticeships were implemented into the workforce.

Eighty years later, apprenticeship programs still exist and are still a benefit to many employers who are looking for a specific skill set.

""There are more than 1,000 different occupations that areapprenticeable occupations through the U.S. Department of Labor, and every day it continues to grow,"" said John Russ, regional manager for the Idaho Department of Labor in the Meridian area.

Russ was in Sandpoint, along with Ricia Lasso, IDL North Idaho regional business specialist, to talk about ApprenticeshipIdaho, aRegistered Apprenticeship programadministered through the Idaho Department of Labor.

Registered Apprenticeship is a national and state program with more than 29,000 apprenticeship programs providing education and training to more than 500,000 apprentices.

Registered Apprenticeship operates in cooperation with state agencies, employers andeducational institutions.

In Idaho, more than 250 employers, associations and labor unions have implemented apprenticeship programs.

Sandpoint High School hosted the presentationby Russ on Wednesdaybecause, in coordination with Nayla Morton's career pathways class, students have an opportunity to join the Youth Registered Apprenticeship program.

""What Sandpoint High School wants to do is get more of these registered apprenticeships so we can send students out and then hopefully retain them, keep them here,"" Morton said.

SHS Counselor Jeralyn Mire said when she learned about the program, she wanted to extend the knowledge to more local businesses in the community as well.

For that reason,a fewlocalemployersattendedthe presentation to learn more about implementing apprenticeships into their businesses.

Russ said the fastest growing apprenticeable occupations right now are in the technology sector.

IDL specialists are trying to get more Idaho businesses from all sectors involved with apprenticeships.

A Registered Apprenticeship is a standard that is set by the company with the help of education and on the job training, Russ said.

He said, see the program as a threat to continued education.

""A Registered Apprenticeship is not taking anything away from continued education,"" Russ said.

""If anything, it is enhancing that push toward continued education, because we want our youth, our young adults, we want our working people to continue that education.""

In the youth program, students are hired as an apprentice while they are still in high school.

One local business already in the program is Idaho Forest Group.

""We recognized a need to get a pipeline going for our skilled trades, specifically our maintenance mechanic or millwright program,"" said BrianRiley, IFG manager.

""There wasn't a lot options out there other than North Idaho College ... There wasn't a lot of available, trained students coming out that could even step in at an entry level role for us.""

Riley said the first apprentice they received from SHS was a senior in high school, andis now attending North Idaho College while working full time at IFG. Their most recent apprentice is still a senior at SHS. ""All in all, it's working out well for us,"" Riley said.

The average retention rate for employees through the program is 91 percent, Russ said.

A recent study shows that for every $1 invested in an apprentice, employers can expect $1.47 in return.

""We are not in the habit of tellingyou it's the best investment in the world, but I think it's the best investment in the world,"" Russ said.

There is a team set up statewide to help employers implement a Registered Apprenticeship program, Russ said, and the team will do ""Most of the leg work.""

Local businesses interested in the program should contact Lasso at 208-457-8789 ext."
10,Staff,1/26/18 5:11 PM,"The two additions to the New Mexico Information Technology Apprenticeship Program were recently approved by the state Department of Workforce Solutions.

CNM is looking for employers who ""Could be well-served by apprentices in these two fields,"" the school said in a news release.

""The college has dozens of apprentice candidates lined up and ready to support the cyber security and medical coding needs of local employers,"" the news release said.

About 30 people already are serving apprenticeships in other disciplines with another 10 set to begin soon, according to a CNM spokesman.

About a quarter were already CNM students with the rest recruited through outreach efforts at job fairs and in ""Under-represented communities.""

The internship program for IT careers is funded by a $3 million grant from the U.S. Department of Labor.

CNM was among 46 institutions nationwide to receive part of the Labor Department's $175 million American Apprenticeship Grants Initiative in 2016.

Apprentices get on-the-job training, take CNM classes funded through the grant and receive industry certifications such as Network+ and Security+.

The goal of CNM's grant is to train 300 apprentices over five years as a way to boost the IT workforce in New Mexico.

The grant also provides money to employers to offset training costs.

Apprentices are assigned career and academic coaches.

The first cohort of apprentices will graduate from the program next month.

Employers who want to participate in the program can review ru00e9sumu00e9s for apprenticeship applicants and decide who they would like to interview."
14,Jonathon Ambarian - MTN News,1/28/18 8:02 PM,"HELENA - The Montana Carpenters' Joint Apprenticeship Training Center in Helena welcomed the public Thursday for an open house.

It was an opportunity for the carpenters' union to show off the newly refurbished facility.

""A few months back, we decided to remodel our facility,"" said Mario Martinez, lead representative for the Pacific Northwest Regional Council of Carpenters.

""It was really looking old, dated and wasn't meeting the needs of the industry anymore.""

Leaders say the training center is key to sustaining a skilled workforce in Montana.

Apprentices are able to learn their trade while working under the supervision of experienced carpenters and earning a salary.

""The apprentices are schooled on safety, first aid, CPR, metal studs, drywall, acoustical ceilings, bridge building, concrete forms - you name it,"" said Martinez.

At the end of the four years, apprentices become journeymen carpenters, with the experience they need to take on a variety of construction jobs.

""What you have by having gone through the apprenticeship is you've proved that you have the skills to do the job when you get there,"" said Al Ekblad, executive secretary of the Montana State AFL-CIO. ""If you don't have that training, you're walking in the door and competing with everybody else.""

Martinez said 39 people are currently going through the carpenters' apprenticeship program.

""We'd like to see that number grow, and that was one of the reasons for this open house,"" he said.

Leaders sent invitations to elected leaders and school districts around Montana.

Lt. Gov. Mike Cooney visited the training center Thursday, along with state lawmakers and representatives from Attorney General Tim Fox's office.

Teachers and students from high school construction technology programs were also in attendance.

They came from large cities like Billings and Missoula and from small communities like Darby and Brockton.

The students got a look at some up-to-date technology, from virtual welding simulators to laser measuring tools.

Training center leaders highlighted the Career Connections program, a special curriculum to give high schoolers basic skills they will need to be successful apprentices.

""The students are job-ready when they come out,"" said Martinez.

The centers also offers a pre-apprenticeship program, to make sure that people who start apprenticeships know what will be expected of them.

Leaders say too many apprentices drop out after the first or second year.

An August report from the Montana Department of Labor and Industries says the construction industry is the state's fastest-growing.

It projects construction employment to increase 2.7% annually - an additional 815 jobs each year.

Training center leaders also said many of Montana's current trained carpenters are likely to retire in the coming years.

That will leave a lot of opportunity for young people willing to work hard.

""The sky is the limit for them,"" Martinez said.

""As long as they're showing up for work on time, ready to have good attitudes and be productive, they can go anywhere in this industry.""

The training center remodel was funded by contributions from working carpenters around the state.

The union's members pay into a training fund for each hour they work."
18,Staff,1/30/2018 12:30,"ASHEBORO - High school juniors and seniors have another option to further their education in Randolph County, thanks to a collaboration with Asheboro City Schools, Randolph Community College, the Randolph County School System and local manufacturers.

Apprenticeship Randolph, in its second year, allows students the opportunity to earn while they learn, following a machining or mechatronics curriculum and applying their new skills at their industry.

Apprenticeship Randolph was developed to address the manufacturing needs of Randolph County, giving students a jump-start on a professional career in local industries.

Students have the opportunity to maximize earning potential, gain valuable skills, receive on-the-job training and earn an Associate of Applied Science degree in Manufacturing Technology from RCC. Graduates of this four-year program will also earn a Journeyman Certificate issued by the N.C. Department of Labor and the N.C. Community College System.

Tuition, books and fees are covered for selected Apprenticeship Randolph students.

In 2017, its inaugural year, 16 apprentices were signed, working in 11 local industries.

Information sessions will also be held during the school days at each of the high schools until Tuesday, Feb. 6.

To see the schedule, requirements and general information on Apprenticeship Randolph, visit www."
24,B.C. Manion,1/31/2018 13:40,"That's just four of the more than 50 graduates who received their diplomas during the 2018 Commencement Ceremony on Jan. 25 at the Center for the Arts at Wesley Chapel.

Others had finished the cosmetology program or Early Childhood Apprenticeship.

There were some receiving high school diplomas, either finishing up credits they needed, or graduating ahead of their class.

All of the graduates had something in common: They smiled broadly as they marched into the auditorium, as members of the audience clapped and cheered.

Graduate Hailey Pecora, of Dade City, plans to enroll at Pasco-Hernando State College, to pursue a degree in nursing.

""She has done this graduation thing at 16. She's already enrolled in college.""

Next, the 44-year-old plans to earn her associate's degree, at either Saint Leo University or Pasco-Hernando State College.

He was pleased to be moving onto the next step, and to have his parents, grandparents and best friend there to help him mark the accomplishment.

Sandra Vogel, a school counselor for adult education, simply loves graduation ceremonies.

""It gives you a warm feeling because you know what they've gone through to get here.""

""They've worked really hard, and we're really proud of them,"" Vogel said.

Leslie Ruttle, a resource teacher, said that besides recognizing the graduates, the ceremony can serve as a stimulant for others.

""A lot of our students, the way we get them, it is word of mouth. A relative, or a friend, or something like that has gone through the program,"" Ruttle said.

""We'll get some students tonight,"" she predicted.

""They'll come here, and they'll see other people have been successful and they'll think: 'I can do it, too.'"".

""So many of the students have gone through trials,"" said Wendy Beard, program manager for adult education.

Throughout the auditorium, there were family members, friends and fellow students cheering on the graduates.

Ambrose Helms, 17, of Wesley Chapel had a giant fan club.

Roughly 30 people were expected to come help him celebrate.

""I feel excited because he's graduating early,"" said Latoya Lovett, his cousin, who had staked out a place near the front of the auditorium for Helms' supporters.

Nicole Robinson was there to support Olivia Paradilla, a graduate from Land O' Lakes High.

""She's my best friend. I know she'll do great things,"" Robinson said.

Catherine Agovino came to support Niki Atkins and Danielle Cary, who had completed their Early Childhood Apprenticeship.

""It's a big accomplishment,"" Agovino said.

Hope Corcoran, who delivered the student address, underscored the reality that high school is not a perfect fit for everyone.

She was born in China, where she was abandoned, as an infant, on the side of the road. She was adopted and attended schools in Wesley Chapel.

""It didn't go as I would have liked,"" Corcoran said.

""I felt like I didn't fit in. I was constantly bullied and teased. I would come home crying to my mom, and I told her I didn't want to go back because I felt so different from the other kids.""

""I was made fun of for being overweight and for having slanted eyes,"" she said.

""It got to a point where I ended up enrolling into home-school,"" she said.

""And, then I found out about the GED program and that I could finish high school and get my diploma.""

""It was through this program that I met Miss Linda Rockwell.""

""I'm so thankful that I had the opportunity to meet this incredible woman. She cares about her students and wants to see them achieve the best future possible,"" Corcoran said.

Along the way, Corcoran said she learned some lessons.

""I have learned that people drop out for different reasons. Sometimes bullying. Sometimes academic reasons and family struggles. Everyone has their own story.""

""Many students feel lost in high school and don't know where to begin. There are so many things that go on, behind the scenes, that we are unaware of.""

""It's expected that students all learn the same way, with the same lessons, same techniques and same books, when that is simply not the case. High school isn't for everyone.""

""Some students have jobs, to help support their families. Or, need to stay home to take care of them, along with other responsibilities, outside of school that can get in the way of academic work,"" Corcoran said.

""A few nights ago, I was texting Miss Rockwell and I was telling her I wasn't sure what else I should talk about. Her response was: 'Talk about how there's more than one path to success. How each person chooses their path. You can talk about how not everyone has the same definition of success, and that getting a GED is just the first step to success.'"".

Corcoran observed: ""I couldn't have said it better myself."""
25,Staff,1/31/2018 14:21,"While Phaze Concrete has been around for over a decade, they have set the bar for outstanding concrete work.

It's the way they have treated and helped the employees that have helped them gain additional recognition.

The concrete construction business has offices in numerous locations in the western portion of the United States.

The company has a license to deliver their services to 17 states across the country.

The bulk of their work focuses on Utah, California, and Nevada.

Starting with small projects that included working on residential properties and pouring driveways.

The team that started the company became successful because of their hard work and assistance in the concrete industry.

The business grew slowly, but in a few years, they began to attract bigger and lucrative projects.

Their work on residential properties became replaced with large commercial projects.

These massive structures included parking garages, box stores, and multilevel buildings.

One major project landed by Phaze Concrete was a Family Dollar distribution center.

The contract gained the company pouring concrete for a million square foot structure.

While this project allowed the company to collect a large sum of money, it earned other honors.

Their work on the distribution center earned Phaze the ACI Intermountain Chapter Award of Excellence in flatwork and tilt-up concrete work.

Because of these contracts and honors, the company has over 250 team members.

Because of the significant staff, they can work on multiple projects in concrete, utilities, and earthwork in their area.

Just because the company has multiple projects completed at once does not mean the quality and quickness decreases.

The crew members are dedicated to finishing jobs ahead of schedule and within budget.

Phaze Concrete is committed to improving the quality of their work and increasing efficiency.

To achieve this, crew members ensure that they work together as a team.

They create a safe, professional, and enjoyable atmosphere where every member wants to work.

The safety of all employees is an essential aspect of the company.

That is why the company has an Experience Modification rating of 0.72%, which means they are committed to the safety of their team members.

While Phaze ensures all work crew members are safe on the job, it's their commitment outside the worksite that is turning heads.

In 2016, the company joined forces with the Department of Labor's Department of Apprenticeships.

This partnership created an exciting and unique work education program for Phaze team members.

The decision to partner has been successful while providing young workers with high-quality work experience.

Government officials have highlighted the importance of these type of offerings for workers.

Alexander Acosta, U.S. Secretary of Labor, showed support of the initiative at the G-20 Labor and Employment Ministers' Meeting in 2017.

The White House Office of American Innovation has become equally committed to supporting these types of programs.

As of today, the apprenticeships program by Phaze Concrete is one of 37,000 different sponsors in the country.

The company has become proud of the fact that their programs are not seen as a union organization benefit, mainly since Phaze stands as not unionized.

Instead, the company wants to stay focused on ensuring all team members can learn the trade and progress in the industry.

It's because of the commitment the company has for their employees to learn new trades that they are leading the concrete industry.

Employees are safely completing massive projects ahead of schedule but also making sure all team members are learning on the job.

To learn more about Phaze Concrete, please visit their website here."
28,Ed Central,2/1/2018 6:40,"duced"":""11%"",""sm_api_title"":""Head Start Apprenticeship in California"",""sm_api_content"":"" Claudia Campbell had tried several times to build her business as an in-home child care provider.

She had also always wanted to go back to school to learn more about child development, but taking on those obligations was difficult as she was working at several different jobs to make ends meet.

""I've had my own children, and have taken care of others, but I've never had the education behind it,"" Campbell said.

Through her local public housing authority, Campbell heard about a unique free apprenticeship for early childhood workers.

Today, she has completed 24 child development courses and nine general education courses toward her associate's degree while working part-time as a substitute at a Head Start in Hayward, Calif. She goes to school four hours each day and works for another three and a half.

Eventually, she hopes to be hired as a family advocate for Head Start.

Campbell is part of a group of child care workers who are taking advantage of a program run by the YMCA of the East Bay - Early Childhood Impact in Northern California and the Service Employees International Union's Early Educator Training Center.

The program is operated in partnership with local colleges and universities and other Head Start employers.

In the nine-month work-study program, Head Start parents earn a California Child Development Associate Teacher Permit.

The permit functions as an entry to the early childhood field, allowing them to work as full-time Head Start assistant teachers.

Participants can attain an associate's degree in child development or a bachelor's degree, credentials that continue to help Head Start grantees to meet the 2007 federal requirement that stipulates that more than half of all Head Start teachers must have a bachelor's degree in early childhood, child development or equivalent coursework.

Mothers with their children in tow are tackling early literacy development at a local school.

They're keeping busy eating Cheetos and playing on mobile devices or with coloring sheets while their moms learn about the ""Serve and return"" of teacher-child interactions.

This is the final session of the weekly, semester-long course in Principles and Practices in Early Childhood Education as part of the Head Start Apprenticeship.

Many of the women have been at work or caring for children much of the day, and they're discussing the importance of reading with children as young as infancy.

Most are nontraditional students-low income, juggling work and family, and maybe the first in their families to attend college.

Most are already employed at Head Starts as substitutes or teachers aids.

For some, English is a second language and bilingual students occasionally translate for their peers whose English isn't as strong.

""Ortensia are you taking a break? Let's talk because next semester we do have child care for you and we do have tutoring on Saturday.""

The Head Start Apprenticeship is designed to help solve a growing problem in California: the lack of early childhood teachers.

Experts say there are only enough licensed child care spaces for 25 percent of the children in the state who potentially need services while their parents work.

This shortage comes at a time when state and federal governments are placing higher expectations on teachers of young children as policymakers come to understand more about brain development and the importance of learning in the first years of life.

The apprenticeship is therefore designed to address the conundrum of requiring more from those who care for young children but offering few options to train them.

New America's recent paper, Re-thinking Credential Requirements in Early Education: Equity-Based Strategies for Professionalizing a Vulnerable Workforce, describes apprenticeship as an option for training members of the current workforce, many of whom are low-income and women of color, and who are more likely to be shut out of professional learning opportunities because they cannot afford them.

The Head Start Apprenticeship is successful, says Randi Wolfe, who designed the program for SEIU, because its design meets the specific needs of nontraditional students.

""All of our workers are all low income. A lot of them are recent immigrants or one generation back or first generation college students,"" she said.

The Head Start Apprenticeship provides no-cost college courses and textbooks and offers classes at times and in locations that work well with students' work schedules and family responsibilities.

The apprenticeship also provides child care, transportation, and tutoring to help remove the barriers that adult students often face to course completion.

The YMCA's Workforce Development Director Joya Chavarin says she's observed students forming close relationships that form as organic learning communities and support structures.

""Students decided to stay after class and study together,"" she said.

""It was fantastic because many of the students enrolled alone, but through participation in the apprenticeship they develop collegial relationships that strengthen their success as teachers.""

Chavarin also notes that 95 percent of her adult students are parents of children under 12.

Many students she said relied on and reflected upon their experiences as children and parents while taking the courses, which also was an important asset and contributor to their success.

The workforce development community is taking note as it seeks to expand apprenticeship models that pair structured on-the-job learning with coaching and mentoring into new sectors and populations.

""Now that we have this in place,"" Wolfe said, ""I'm getting phone calls from community colleges and places around the state saying, 'We're interested in starting an apprenticeship. Can you help us?'"".

This is not the only apprenticeship program for early childhood workers that SEIU and their partners have developed.

A program for center-based child care workers with the Mexican American Opportunities Foundation in Southeast Los Angeles provides on-site mentoring, supervision, and college classes to assistant or associate teachers of preschool-aged children.

Another program in the San Fernando and Antelope Valleys in Los Angeles County provides training, coaching, and no-cost college coursework to family child care providers.

She says she has learned so much already from her coursework, things she wishes she had known even before she became a parent-about temperament, development, the importance of listening to kids, and how to support diverse families.

""I wish I could have taken these classes before I came a parentI had a hard time listening to my kids. I shut them down because I'm the parent and whatever I say goes. That's one of the things I've learned, you have to let your child be heard and there are times when they are right."""
33,Staff,2/2/2018 0:00,"duced"":""3%"",""sm_api_title"":""Apprenticeships Focus of Contractor Watchdog Listening Sessions"",""sm_api_content"":"" Overtures for collaboration and an interest in workforce development were the stakeholders' takeaways from three listening sessions held by the freshly instated head of the Labor Department's federal contractor watchdog agency.

w. Select federal contractors, civil rights groups, and membership association representatives were granted an exclusive opportunity to sit down with Ondray Harris, the new Trump-appointed director of the Office of Federal Contract Compliance Programs.

The position had sat open for more than a year during the presidential transition, sowing some unease among the federal contractor community over the office's transparency, efficiency, and commitment to affirmative action priorities.

The listening sessions centered around four broad categories: apprenticeship programs, recognition for employers doing well, compliance evaluations, and disability outreach and recruitment.

Workforce development through apprenticeship is a priority for Department of Labor Secretary Alexander Acosta.

Harris shares his boss's passion for apprenticeships and discussed how they could assist employers in achieving diversity goals while simultaneously addressing a skills gap in the U.S. workforce, Mickey Silberman, chair of the affirmative action and pay equity practice at Fortney & Scott LLC and co-chair of the Institute for Workplace Equality, told Bloomberg Law.

The OFCCP annually audits between 1 percent and 2 percent of about 200,000 federal contractor facilities to confirm and enforce compliance with three federal equal employment opportunity laws: Executive Order 11,246, Section 503 of the Rehabilitation Act, and Section 4212 of the Vietnam Era Veterans' Readjustment Assistance Act.

Detailed policy matters weren't a focus of the listening meetings and Harris reportedly asked attendees to keep the particulars off the record, sources tell Bloomberg Law.

The Department of Labor's Office of Public Affairs didn't immediately respond to a request for comment.

Harris and his senior adviser, Craig Leen, are still getting their OFCCP sea legs, but they were attentive to stakeholder concerns and expressed a desire to take a fresh approach to the agency's mission, sources tell Bloomberg Law.

""Director Harris and Mr. Leen were seeking insights and experience from the attendees with the stated goal of making the OFCCP more effective and efficient,"" said Mickey Silberman, chair of the affirmative action and pay equity practice at Fortney & Scott LLC and co-chair of the Institute for Workplace Equality.

Other stakeholders speaking to Bloomberg Law repeated similar sentiments.

Harris and Leen took a step back from regulatory minutiae to talk big picture concepts and themes, which one source who asked not to be named found ""Refreshing.""

Leen was floated as a potential OFCCP director before the Trump administration settled on Harris.

If his engagement at the meetings is anything to go by, Leen will be a major OFCCP player alongside Harris going forward.

Candee Chambers, executive director of DirectEmployers in Indianapolis, told Bloomberg Law that ""Even though the unemployment rate is low, there are still over 6 million jobs available and the US is currently facing a skills gap that will not allow for those jobs to be filled."" Chambers attended one of the listening sessions with other membership association representatives.

""You can increase diversity and build opportunities through appropriate education and training for females, minorities, veterans, and individuals with disabilities, helping them gain the skills they need to be qualified for higher-level positions while also providing a pipeline for companies not currently working at capacity,"" Chambers said.

There still exists a question of how apprenticeships and workforce development programs fit with the OFCCP's central mission of evaluating federal contractors and enforcing compliance with federal equal opportunity laws.

The potential mismatch didn't appear to bother employer-side sources speaking with Bloomberg Law, however.

The office needs a breath of fresh air and re-prioritization, and employers consider the positive dialogue a satisfying step forward into the new year, they said.

New leadership will, with any luck, guide the OFCCP through the rapids it finds itself in.

The office last year nearly found itself merged with the Equal Employment Opportunity Commission.

Concerns still linger over agency transparency and efficiency, especially after staff were offered buyouts to shrink the agency.

Director Harris will likely be managing these issues amid a significant budget cut.

The exact number won't be known until Congress finalizes a budget, but the White House had proposed funding the OFCCP at $88 million-a $17 million decrease from its FY 2017 funding of $105 million.

The office plans to establish two skilled regional centers and staff them with specially trained personnel to carry out its compliance evaluations, according to its FY 2018 Congressional Budget Justification.

That document was published in 2017 when the OFCCP lacked a politically appointed director.

The skilled regional centers are intended to increase case evaluation quality, timeliness, and efficient use of limited resources while reducing the need for the ""Network"" of district and field offices that currently audit federal contractor facilities.

Completing the Federal Contractor Compliance Manual and finalizing the compliance officer training program are two other OFCCP priorities.

The FY 2018 Budget Justification indicates that the office is moving toward a centralized model of compliance enforcement and away from the disparate regional network it currently manages.

With a new director at the wheel, these plans can pick up steam or go off on a new direction entirely."
36,Teri Maddoxtmaddox@bnd.com,2/2/2018 8:00,"duced"":""23%"",""sm_api_title"":""Jobs: Companies hiring semi trailer truck drivers in IL, MO"",""sm_api_content"":"" Emily Duck is only 5-foot-4, but she has no trouble shifting the gears, hitting the brakes or climbing into the cab of a big rig that she drives from Edwardsville to Kansas City almost every night.

The single mother of two has been hauling freight for three years, benefiting from a national trucker shortage that has companies scrambling to recruit drivers, offering competitive salaries and benefits and, in some cases, paying for their training.

Know from listening to other people how cool it is that their mom does this, but they don't like my work hours.

Duck works 4 p.m. to 4 a.m. five days a week, taking time away from her two young daughters and limiting her social life.

It's hard to find healthy food along the interstate, she said, and you don't get much exercise sitting in a truck.

Duck owns a home and a nice vehicle, and she sleeps in her own bed, unlike ""Over-the-road"" drivers who can be gone one, two or three weeks at a time.

""(My daughters) know from listening to other people how cool it is that their mom does this, but they don't like my work hours,"" she said.

""They don't like how much I work.""

A study conducted last year by Bob Costello, chief economist for American Trucking Associations, estimated the driver shortage would reach 50,000 by the end of 2017 and 174,000 by 2026.

Costello cited several reasons, including a workforce that is aging and overwhelmingly male; recruitment challenges related to the trucking lifestyle, which doesn't appeal to everyone; and new regulations that limit shift lengths, requiring more drivers to haul the same amount of freight.

""At the same time, it's a growing industry, so you have new positions. There is work available for anyone who has a commercial driver's license right now, assuming you don't have a criminal record.""

Depending on the company, starting salaries range from $35,000 to $40,000 a year for route drivers who go home each night and more for regional or cross-country, Reinert said.

""Employers are falling all over themselves to hire students,"" said Rene Dulle, Workforce Solutions Group program manager at St. Louis Community College who oversees its truck-driving program on the Forest Park campus.

Truckers must be 21 years old and possess a Class A commercial driver's license to take tractor-trailers across state lines.

The minimum age is 18 for a Class B license to drive heavy trucks with no trailers.

Illinois and Missouri require physical exams and drug testing, Dulle said, and most trucking companies want verifiable work histories and acceptable driving records.

""You can't drive with certain heart conditions,"" Reinert said.

Two community colleges and a few private schools in the St. Louis area have truck-driving programs, which vary on the number of weeks, tuition and pass rates on licensing tests.

Lewis and Clark and St. Louis Community College got into the field three years ago after joining seven other colleges in eight states along the Mississippi River and successfully applying for a $24 million U.S. Department of Labor grant to offset costs.

""We knew there was a huge demand for truck drivers before that,"" Dulle said.

St. Louis Community College has a regular program and a new pilot apprenticeship program.

The latter provides free tuition for five weeks of training to selected students who commit to working a minimum of 18 months for one of three partnering freight haulers.

Apprenticeships are funded by a federal grant administered by the St. Louis Agency on Training and Employment and sponsored by St. Louis Regional Freightway, a branch of Bi-State Development that assists the manufacturing, logistics and transportation industry.

""We want to increase the number of truck drivers and continue to have competitive trucking rates and be competitive in the global market,"" said Mary Lamie, executive director of St. Louis Regional Freightway.

Lead instructor for St. Louis Community College classes is Seth Owens, 38, of Belleville, who covered more than a million miles during his 13 years as a trucker.

Today, he teaches students how to drive and back up tractor-trailers under all kinds of circumstances and do thorough pre-trip inspections.

""You have to press the clutch to remove it from a given gear, and then you have to press it again to put it in a different gear,"" said fellow instructor Jimmy Sherman, 39, of St. Louis.

Student John Schmidt, 23, of Kirkwood, Missouri, wants to get a commercial driver's license because he helps with his grandparents' farm and needs to haul large loads.

Student Brandon Coyle, 26, of St. Charles, Missouri, has been working in the restaurant industry for 10 years and hating it for eight years.

Government limits time on road. In recent years, the Federal Motor Carrier Safety Administration has imposed stricter truck-driving rules to reduce fatigue and improve safety.

Work weeks are limited to 70 hours, work days to 14 hours and driving times to 11 hours.

That's one of the reasons we have a driver shortage.

Companies can't cook the books, so it takes more drivers and more trucks to move the same amount of freight.

""That's one of the reasons we have a driver shortage,"" Owens said.

""Companies can't cook the books, so it takes more drivers and more trucks to move the same amount of freight.""

Emily Duck graduated from Belleville West in 2007 and worked in stores, restaurants and bars before going to truck-driving school in California and landing a well-paying job in three days.

Since that time, Duck has worked for four companies, hauling everything from soap to sandwiches, almonds to ammunition in tractor-trailers more than 60 feet long.

Beyond driving, Duck inspects the big rig at the start of each shift, popping the hood of its 13-foot-tall cab and checking oil, belts, hoses, tires and an air system that powers brakes, suspension, even the driver's seat.

After her overnight shift ends, Duck sleeps a couple of hours before getting her two daughters, Norah, 6, and Aiko, 7, up and off to school.

""There's 80,000 pounds in your control, and to be able to operate the truck and work the hours ... It takes a lot out of a person. Not everyone can do it."""
